date,^GSPC,AAPL,MSFT,GOOG,GOOGL,AMZN,NVDA,TSLA,META,BRK-B,V
2017-01-03,2257.830078125,29.037500381469727,62.58000183105469,39.30699920654297,40.4005012512207,37.68349838256836,25.502500534057617,14.465999603271484,116.86000061035156,163.8300018310547,79.5
2017-01-04,2270.75,29.0049991607666,62.29999923706055,39.345001220703125,40.38850021362305,37.85900115966797,26.09749984741211,15.13266658782959,118.69000244140625,164.0800018310547,80.1500015258789
2017-01-05,2269.0,29.15250015258789,62.29999923706055,39.70100021362305,40.6510009765625,39.022499084472656,25.434999465942383,15.116666793823242,120.66999816894531,163.3000030517578,81.08999633789062
2017-01-06,2276.97998046875,29.477500915527344,62.84000015258789,40.307498931884766,41.260501861572266,39.79949951171875,25.774999618530273,15.267333030700684,123.41000366210938,163.41000366210938,82.20999908447266
2017-01-09,2268.89990234375,29.747499465942383,62.63999938964844,40.33250045776367,41.35900115966797,39.84600067138672,26.81999969482422,15.41866683959961,124.9000015258789,162.02000427246094,81.75
2017-01-10,2268.89990234375,29.77750015258789,62.619998931884766,40.239498138427734,41.300498962402344,39.79499816894531,26.61750030517578,15.324666976928711,124.3499984741211,161.47000122070312,81.30999755859375
2017-01-11,2275.320068359375,29.9375,63.189998626708984,40.39550018310547,41.49300003051758,39.95100021362305,26.290000915527344,15.315333366394043,126.08999633789062,162.22999572753906,81.80000305175781
2017-01-12,2270.43994140625,29.8125,62.61000061035156,40.31800079345703,41.47650146484375,40.68199920654297,25.860000610351562,15.305999755859375,126.62000274658203,161.41000366210938,81.37000274658203
2017-01-13,2274.639892578125,29.760000228881836,62.70000076293945,40.39400100708008,41.547000885009766,40.856998443603516,25.857500076293945,15.850000381469727,128.33999633789062,161.89999389648438,81.16999816894531
2017-01-17,2267.889892578125,30.0,62.529998779296875,40.230499267578125,41.37300109863281,40.486000061035156,25.27750015258789,15.70533275604248,127.87000274658203,159.63999938964844,81.26000213623047
2017-01-18,2271.889892578125,29.997499465942383,62.5,40.30350112915039,41.45100021362305,40.374000549316406,25.737499237060547,15.890666961669922,127.91999816894531,160.49000549316406,81.58999633789062
2017-01-19,2263.68994140625,29.94499969482422,62.29999923706055,40.10874938964844,41.21849822998047,40.45199966430664,26.290000915527344,16.250667572021484,127.55000305175781,159.41000366210938,81.7300033569336
2017-01-20,2271.31005859375,30.0,62.7400016784668,40.250999450683594,41.40850067138672,40.416500091552734,26.002500534057617,16.315332412719727,127.04000091552734,160.2100067138672,81.83999633789062
2017-01-23,2265.199951171875,30.020000457763672,62.959999084472656,40.96549987792969,42.221500396728516,40.89400100708008,26.272499084472656,16.594667434692383,128.92999267578125,158.80999755859375,82.1500015258789
2017-01-24,2280.070068359375,29.99250030517578,63.52000045776367,41.19350051879883,42.47650146484375,41.12200164794922,26.832500457763672,16.974000930786133,129.3699951171875,160.72000122070312,83.2300033569336
2017-01-25,2298.3701171875,30.469999313354492,63.68000030517578,41.78350067138672,42.92250061035156,41.82600021362305,26.947500228881836,16.96466636657715,131.47999572753906,164.25,83.9000015258789
2017-01-26,2296.679931640625,30.485000610351562,64.2699966430664,41.60749816894531,42.8489990234375,41.95750045776367,27.412500381469727,16.833999633789062,132.77999877929688,164.9199981689453,83.23999786376953
2017-01-27,2294.68994140625,30.487499237060547,65.77999877929688,41.16550064086914,42.25149917602539,41.78850173950195,27.9424991607666,16.863332748413086,132.17999267578125,164.39999389648438,83.7699966430664
2017-01-30,2280.89990234375,30.407499313354492,65.12999725341797,40.11600112915039,41.19150161743164,41.51900100708008,27.5049991607666,16.708667755126953,130.97999572753906,164.8000030517578,83.69999694824219
2017-01-31,2278.8701171875,30.337499618530273,64.6500015258789,39.839500427246094,41.009498596191406,41.17399978637695,27.295000076293945,16.795333862304688,130.32000732421875,164.13999938964844,82.70999908447266
2017-02-01,2279.550048828125,32.1875,63.58000183105469,39.784751892089844,40.762001037597656,41.61750030517578,28.487499237060547,16.615999221801758,133.22999572753906,163.61000061035156,82.44000244140625
2017-02-02,2280.85009765625,32.13249969482422,63.16999816894531,39.92649841308594,40.91299819946289,41.997501373291016,28.84749984741211,16.770000457763672,130.83999633789062,163.0,82.30000305175781
2017-02-03,2297.419921875,32.27000045776367,63.68000030517578,40.074501037597656,41.006500244140625,40.5099983215332,28.594999313354492,16.755332946777344,130.97999572753906,163.94000244140625,86.08000183105469
2017-02-06,2292.56005859375,32.5724983215332,63.63999938964844,40.06700134277344,41.08100128173828,40.38199996948242,29.327499389648438,17.184667587280273,132.05999755859375,163.4199981689453,85.83000183105469
2017-02-07,2293.080078125,32.88249969482422,63.43000030517578,40.3484992980957,41.46149826049805,40.625,29.782499313354492,17.165332794189453,131.83999633789062,162.92999267578125,85.77999877929688
2017-02-08,2294.669921875,33.0099983215332,63.34000015258789,40.41899871826172,41.49399948120117,40.98550033569336,29.65250015258789,17.472000122070312,134.1999969482422,162.8699951171875,85.08999633789062
2017-02-09,2307.8701171875,33.10499954223633,64.05999755859375,40.47800064086914,41.50299835205078,41.06800079345703,29.094999313354492,17.946666717529297,134.13999938964844,164.0399932861328,85.58000183105469
2017-02-10,2316.10009765625,33.029998779296875,64.0,40.68349838256836,41.74250030517578,41.37300109863281,28.405000686645508,17.948667526245117,134.19000244140625,164.00999450683594,85.9000015258789
2017-02-13,2328.25,33.3224983215332,64.72000122070312,40.96200180053711,41.948001861572266,41.826499938964844,27.094999313354492,18.706666946411133,134.0500030517578,165.85000610351562,86.44000244140625
